fragment,text
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:pound_based_unit rdfs:label ""pound based unit"" ;
    rdfs:subClassOf :mass_unit .

:mass_unit rdfs:label ""mass unit"" .

",The pound-based unit is a categorized type of mass unit.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:stone_based_unit rdfs:label ""stone based unit"" ;
    rdfs:subClassOf :mass_unit .

:mass_unit rdfs:label ""mass unit"" .

",The unit based on stone is a type of mass unit.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:quarter_based_unit rdfs:label ""quarter based unit"" ;
    rdfs:subClassOf :mass_unit .

:mass_unit rdfs:label ""mass unit"" .

",A quarter-based unit is a type of mass unit.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hundredweight_based_unit rdfs:label ""hundredweight based unit"" ;
    rdfs:subClassOf :mass_unit .

:mass_unit rdfs:label ""mass unit"" .

",The unit known as a hundredweight is a type of mass unit.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ton_based_unit rdfs:label ""ton based unit"" ;
    rdfs:subClassOf :mass_unit .

:mass_unit rdfs:label ""mass unit"" .

",The ton is a unit that is used to measure mass.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:slug_based_unit rdfs:label ""slug based unit"" ;
    rdfs:subClassOf :energy_unit .

:energy_unit rdfs:label ""energy unit"" .

",The slug-based unit is categorized as a type of energy unit.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:teaspoon_based_unit rdfs:label ""teaspoon based unit"" ;
    rdfs:subClassOf :volume_unit .

:volume_unit rdfs:label ""volume unit"" .

",The unit based on a teaspoon is a type of volume unit.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:gram_per_square_meter_based_unit rdfs:label ""gram per square meter based unit"" ;
    rdfs:subClassOf :area_density_unit .

:area_density_unit rdfs:label ""area density unit"" .

",The area density unit is of a type that is based on the gram per square meter.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:large_calorie_based_unit rdfs:label ""large calorie based unit"" ;
    rdfs:subClassOf :energy_unit .

:energy_unit rdfs:label ""energy unit"" .

",The large calorie-based unit is a type of energy unit.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:gray_per_minute_based_unit rdfs:label ""gray per minute based unit"" ;
    rdfs:subClassOf :absorbed_dose_unit .

:absorbed_dose_unit rdfs:label ""absorbed dose unit"" .

",The Gray per minute is a unit that is used to measure the absorbed dose.
