fragment,text
"
:oceanic_crust rdfs:label ""oceanic crust"" ;
    :definition ""Oceanic crust is the uppermost layer of the oceanic portion of a tectonic plate."" ;
    :sub_class_of [ :on_property :part_of ;
            :some_values_from :planetary_crust ],
        :planetary_structural_layer .

:part_of rdfs:label ""part of"" .

:planetary_crust rdfs:label ""planetary crust"" .

:planetary_structural_layer rdfs:label ""planetary structural layer"" .

",The oceanic crust is a sub-class of the planetary structural layer. It is also a part of another entity as well as having some values from the planetary crust. The oceanic crust is defined as the uppermost layer of the oceanic portion of a tectonic plate.
"
:mohorovicic_discontinuity rdfs:label ""Mohorovicic discontinuity"" ;
    :definition ""The Mohorovicic discontinuity, usually referred to as the Moho, is the boundary between the Earth's crust and the mantle, indicating a change in composition."" ;
    :has_exact_synonym ""Moho"",
        ""Mohorovičić discontinuity"" ;
    :sub_class_of :planetary_structural_layer .

:planetary_structural_layer rdfs:label ""planetary structural layer"" .

","The Mohorovicic discontinuity, also known as the Moho, is a planetary structural layer that serves as the boundary between the Earth's crust and the mantle. It indicates a change in composition. The Moho is also referred to as the Mohorovičić discontinuity and shares exact synonyms with both terms."
"
:bedrock rdfs:label ""bedrock"" ;
    :definition ""A lithified mass of rock that lies under the loose softer material (regolith) at the surface of the Earth or other terrestrial planet."" ;
    :sub_class_of :rock .

:rock rdfs:label ""rock"" .

",Bedrock is classified as a type of rock. It can be defined as a lithified mass of rock that is found underneath the loose and softer material known as regolith. This definition applies to Bedrock on the surface of the Earth or any other terrestrial planet.
"
:area_of_barren_land rdfs:label ""area of barren land"" ;
    :alternative_term ""Barren Land (Rock/Sand/Clay)"" ;
    :definition ""An area of a planet's surface which is primarily composed of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."" ;
    :sub_class_of [ :on_property :adjacent_to ;
            :some_values_from :atmospheric_boundary_layer ],
        :terrestrial_environmental_zone .

:adjacent_to rdfs:label ""adjacent to"" .

:atmospheric_boundary_layer rdfs:label ""atmospheric boundary layer"" .

:terrestrial_environmental_zone rdfs:label ""terrestrial environmental zone"" .

","The area of barren land is a part of the terrestrial environmental zone. It is also adjacent to certain properties and is found within the atmospheric boundary layer. The area of barren land is defined as an area on the surface of a planet that mainly consists of bedrock, desert pavement, scarp rock, talus, material exposed by slides, volcanic material, glacial debris, sand, material exposed during strip mining, gravel, and other accumulations of earthen material. This area is in contact with an atmospheric column that extends from the planetary boundary layer to the planet's exosphere, without any significant physical obstructions. It is also alternatively referred to as Barren Land (Rock/Sand/Clay)."
"@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:obsolete_air_temperature rdfs:label ""obsolete air temperature"" ;
    :definition ""A temperature that inheres in some portion of air."" ;
    :deprecated true ;
    :term_replaced_by ""ENVO:09200001""^^xsd:string .

","Obsolete air temperature is a temperature that inheres in some portion of air. However, it has been replaced by the term ENVO:09200001. It is now considered deprecated."
"
:fumarole_derived_ice_tower rdfs:label ""fumarole-derived ice tower"" ;
    :definition ""A hollow tower of ice formed by the freezing of steam escaping a fumarole."" ;
    :has_related_synonym ""ice chimney"",
        ""ice tower"" ;
    :sub_class_of [ :on_property :composed_primarily_of ;
            :some_values_from :water_ice ],
        [ :on_property :adjacent_to ;
            :some_values_from :ice_cave ],
        :cryoform,
        :elevated_landform,
        :surface_landform .

:adjacent_to rdfs:label ""adjacent to"" .

:composed_primarily_of rdfs:label ""composed primarily of"" .

:cryoform rdfs:label ""cryoform"" .

:elevated_landform rdfs:label ""elevated landform"" .

:ice_cave rdfs:label ""ice cave"" .

:surface_landform rdfs:label ""surface landform"" .

:water_ice rdfs:label ""water ice"" .

","A fumarole-derived ice tower is a type of elevated landform, surface landform, and cryoform. It is also adjacent to and shares some values from an ice cave. Additionally, it is composed primarily of and shares some values from water ice. A fumarole-derived ice tower can be defined as a hollow tower of ice formed by the freezing of steam escaping a fumarole. It is also referred to as an ice chimney or an ice tower."
"
:aeroform rdfs:label ""aeroform"" ;
    :definition ""A part of an astronomical body which is primarily composed of a continuous volume of gaseous or aerosolised material held in shape by one or more environmental processes."" ;
    :equivalent_class [ :intersection_of [ :first :gaseous_astronomical_body_part ;
                    :rest [ ] ] ] ;
    :sub_class_of [ :on_property :composed_primarily_of ;
            :some_values_from [ :union_of [ ] ] ],
        [ :on_property :located_in ;
            :some_values_from :atmosphere ],
        :gaseous_astronomical_body_part .

:atmosphere rdfs:label ""atmosphere"" .

:composed_primarily_of rdfs:label ""composed primarily of"" .

:located_in rdfs:label ""located in"" .

:gaseous_astronomical_body_part rdfs:label ""gaseous astronomical body part"" .

","A gaseous astronomical body part is defined as an aeroform, which is primarily composed of a continuous volume of gaseous or aerosolised material held in shape by one or more environmental processes. The aeroform is an equivalent class of the intersection of a gaseous astronomical body part. It is also a sub class of a gaseous astronomical body part. Additionally, the aeroform is located in and composed primarily of an atmosphere, as it is a sub class of the located in property and some values from the atmosphere property."
"@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:obsolete_vegetable rdfs:label ""obsolete vegetable"" ;
    :deprecated true ;
    :term_replaced_by ""FOODON:00001261""^^xsd:string .

","The term ""obsolete vegetable"" has been replaced by FOODON:00001261. Additionally, the term ""obsolete vegetable"" is marked as deprecated."
"@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:obsolete_fruit rdfs:label ""obsolete fruit"" ;
    :deprecated true ;
    :term_replaced_by ""FOODON:00001262""^^xsd:string .

","The term ""obsolete fruit"" has been replaced by the term FOODON:00001262. It has been marked as deprecated."
"@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:obsolete_nut rdfs:label ""obsolete nut"" ;
    :deprecated true ;
    :term_replaced_by ""FOODON:00001263""^^xsd:string .

","The term ""obsolete nut"" has been replaced by FOODON:00001263. Additionally, the term ""obsolete nut"" has been deprecated."
"@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:obsolete_legume rdfs:label ""obsolete legume"" ;
    :deprecated true ;
    :term_replaced_by ""FOODON:00001264""^^xsd:string .

","The term ""obsolete legume"" has been replaced by the term FOODON:00001264. Additionally, it has been marked as deprecated, indicating that it is no longer in use."
"
:cloud rdfs:label ""cloud"" ;
    :definition ""A cloud is a visible mass of aerosolised liquid droplets or frozen crystals suspended in an atmosphere above the surface of a planetary body."" ;
    :has_exact_synonym ""cloud mass"" ;
    :sub_class_of [ :on_property :composed_primarily_of ;
            :some_values_from [ :union_of [ ] ] ],
        :meteor .

:composed_primarily_of rdfs:label ""composed primarily of"" .

:meteor rdfs:label ""meteor"" .

","A cloud is a visible mass of aerosolised liquid droplets or frozen crystals suspended in an atmosphere above the surface of a planetary body. It is composed primarily of a cloud mass. Additionally, a cloud is a sub class of a meteor."
