fragment,text
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:protoplanet rdfs:label ""protoplanet"" ;
    rdfs:subClassOf :astronomical_body ;
    :has_definition ""An astronomical object that forms within a protoplanetary disc when planetesimals and other solid debris aggregate and, due to gravitational forces,  fuse and initiate internal melting to produce a differentiated interior."" ;
    :has_exact_synonym ""planetary embryo"" .

:astronomical_body rdfs:label ""astronomical body"" .

","A protoplanet, which is a subclass of astronomical body, is defined as an astronomical object that forms within a protoplanetary disc when planetesimals and other solid debris aggregate. Due to gravitational forces, these components fuse and initiate internal melting to produce a differentiated interior. Furthermore, protoplanet has an exact synonym, known as a planetary embryo."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:protoplanetary_disk rdfs:label ""protoplanetary disk"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom [ owl:intersectionOf ( :gaseous_environmental_material [ a owl:Restriction ;
                                owl:onProperty :has_quality ;
                                owl:someValuesFrom :dense ] ) ] ],
        :astronomical_object ;
    owl:equivalentClass [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom [ owl:intersectionOf ( :gaseous_environmental_material [ a owl:Restriction ;
                                owl:onProperty :has_quality ;
                                owl:someValuesFrom :dense ] ) ] ] ;
    :has_definition ""An astronomical object which is composed of dense gas and dust rotating around a young newly formed star, a T Tauri star, or a Herbig Ae/Be star in a disk-shaped configuration."" .

:astronomical_object rdfs:label ""astronomical object"" .

:dense rdfs:label ""dense"" .

:gaseous_environmental_material rdfs:label ""gaseous environmental material"" .

:has_part rdfs:label ""has part"" .

:has_quality rdfs:label ""has quality"" .

","The concept of a protoplanetary disk is essentially the same as having some values from the intersection of the dense quality of gaseous environmental material. This protoplanetary disk is a subclass of an astronomical object and is composed of some values from the intersection of the dense quality of gaseous environmental material. The definition of a protoplanetary disk is an astronomical object, which is composed of dense gas and dust rotating around a young newly formed star, a T Tauri star, or a Herbig Ae/Be star in a disk-shaped configuration."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:proplyd rdfs:label ""proplyd"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :participates_in ;
            owl:someValuesFrom :photoevaporation ],
        :protoplanetary_disk ;
    owl:equivalentClass [ a owl:Restriction ;
            owl:onProperty :participates_in ;
            owl:someValuesFrom :photoevaporation ] ;
    :has_definition ""A protoplanetary disk which is externally illuminated and undergoing photoevaporation."" ;
    :has_exact_synonym ""ionized protoplanetary disk"" .

:protoplanetary_disk rdfs:label ""protoplanetary disk"" .

:participates_in rdfs:label ""participates in"" .

:photoevaporation rdfs:label ""photoevaporation"" .

","The concept of proplyd and its participation in some values from photoevaporation are identical. Proplyd is a subclass of the protoplanetary disk and also participates in some values from photoevaporation. Proplyd can be precisely defined as a protoplanetary disk that is externally illuminated and undergoes photoevaporation. Furthermore, an exact synonym for proplyd is the ionized protoplanetary disk."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mesoplanet rdfs:label ""mesoplanet"" ;
    rdfs:subClassOf :planet ;
    :has_definition ""A planet which is smaller than Mercury but larger than Ceres."" .

:planet rdfs:label ""planet"" .

",A mesoplanet is a subclass of a planet which is defined as a planet that is smaller than Mercury but larger than Ceres.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:circumbinary_planet rdfs:label ""circumbinary planet"" ;
    rdfs:subClassOf :planet ;
    :has_definition ""A planet which orbits two stars."" .

:planet rdfs:label ""planet"" .

","A circumbinary planet, a sub-class of a planet, is defined as a planet that orbits two stars."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:volatile_astrogeological_material rdfs:label ""volatile astrogeological material"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom [ owl:unionOf ( :atmosphere :planetary_crust ) ] ],
        :environmental_material ;
    :has_definition ""A material which is composed primarily of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and which are part of the crust or atmosphere of a moon or planet."" ;
    :has_related_synonym ""volatile"" .

:atmosphere rdfs:label ""atmosphere"" .

:environmental_material rdfs:label ""environmental material"" .

:part_of rdfs:label ""part of"" .

:planetary_crust rdfs:label ""planetary crust"" .

","Volatile astrogeological material is a subclass of environmental material. It's also a subclass of a category that is part of some values from the union of atmosphere and planetary crust. This material is primarily composed of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and is part of the crust or atmosphere of a moon or planet. This is the definition of volatile astrogeological material. It also has a related synonym: 'volatile'."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:astrogeological_gas rdfs:label ""astrogeological gas"" ;
    rdfs:subClassOf :volatile_astrogeological_material ;
    :has_definition ""An astrogeological volatile which is composed primarily of chemical compounds with boiling points around those of hydrogen and helium."" ;
    :has_related_synonym ""gas"" .

:volatile_astrogeological_material rdfs:label ""volatile astrogeological material"" .

","Astrogeological gas, which is a subclass of volatile astrogeological material, is primarily composed of chemical compounds with boiling points similar to those of hydrogen and helium. The term ""gas"" is also synonymously used to refer to astrogeological gas."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:refractory_astrogeological_material rdfs:label ""refractory astrogeological material"" ;
    rdfs:subClassOf :environmental_material ;
    :has_definition ""A material which is composed primarily of chemical elements and compounds which have equilibrium condensation temperatures above approximately 1300 Kelvin and which are part of the crust or atmosphere of a moon or planet."" ;
    :has_related_synonym ""refractory material"" .

:environmental_material rdfs:label ""environmental material"" .

","Refractory astrogeological material, which is a sub-class of environmental material, is defined as a material composed primarily of chemical elements and compounds. These compounds have equilibrium condensation temperatures above approximately 1300 Kelvin and form part of the crust or atmosphere of a moon or planet. This refractory astrogeological material is also synonymously known as refractory material."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:atmospheric_escape rdfs:label ""atmospheric escape"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_part ;
            owl:someValuesFrom :electromagnetic_radiation ],
        [ a owl:Restriction ;
            owl:onProperty :has_input ;
            owl:someValuesFrom [ owl:intersectionOf ( :gaseous_environmental_material [ a owl:Restriction ;
                                owl:onProperty :part_of ;
                                owl:someValuesFrom :planetary_atmosphere ] ) ] ],
        [ a owl:Restriction ;
            owl:onProperty :has_output ;
            owl:someValuesFrom [ owl:intersectionOf ( :gaseous_environmental_material [ a owl:Restriction ;
                                owl:onProperty :located_in ;
                                owl:someValuesFrom :outer_space ] ) ] ],
        [ a owl:Restriction ;
            owl:onProperty :has_participant ;
            owl:someValuesFrom :gaseous_environmental_material ],
        :material_transport_process ;
    owl:equivalentClass [ owl:intersectionOf ( :material_transport_process [ a owl:Restriction ;
                        owl:onProperty :has_input ;
                        owl:someValuesFrom [ owl:intersectionOf ( :gaseous_environmental_material [ a owl:Restriction ;
                                            owl:onProperty :part_of ;
                                            owl:someValuesFrom :planetary_atmosphere ] ) ] ] [ a owl:Restriction ;
                        owl:onProperty :has_output ;
                        owl:someValuesFrom [ owl:intersectionOf ( :gaseous_environmental_material [ a owl:Restriction ;
                                            owl:onProperty :located_in ;
                                            owl:someValuesFrom :outer_space ] ) ] ] ) ] ;
    :has_definition ""A process during which gases that constitute a planetary atmosphere escape that planet's gravitational field and move away into outer space."" .

:electromagnetic_radiation rdfs:label ""electromagnetic radiation"" .

:has_part rdfs:label ""has part"" .

:has_participant rdfs:label ""has participant"" .

:has_input rdfs:label ""has input"" .

:has_output rdfs:label ""has output"" .

:located_in rdfs:label ""located in"" .

:material_transport_process rdfs:label ""material transport process"" .

:outer_space rdfs:label ""outer space"" .

:part_of rdfs:label ""part of"" .

:planetary_atmosphere rdfs:label ""planetary atmosphere"" .

:gaseous_environmental_material rdfs:label ""gaseous environmental material"" .

","Atmospheric escape is a concept that intersects with the material transport process and involves the input of values from the intersection of gaseous environmental material and elements of the planetary atmosphere. It also generates output values from the intersection of gaseous environmental material and elements located in outer space. Atmospheric escape is a subclass of the material transport process and includes components of electromagnetic radiation. It also involves participation from gaseous environmental materials, has input from both gaseous environmental materials and parts of the planetary atmosphere, and generates output related to gaseous materials located in outer space. In essence, atmospheric escape is a process during which gases that constitute a planetary atmosphere escape that planet's gravitational field and move away into outer space."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hydrodynamic_escape rdfs:label ""hydrodynamic escape"" ;
    rdfs:subClassOf :atmospheric_escape ;
    :has_definition ""An atmospheric escape process during which atoms that are parts of a planetary atmosphere escape into outer space through numerous collisions with lighter atoms in that atmosphere."" .

:atmospheric_escape rdfs:label ""atmospheric escape"" .

","Hydrodynamic escape is a subclass of atmospheric escape, which is defined as an atmospheric escape process during which atoms that are parts of a planetary atmosphere escape into outer space. This process occurs through numerous collisions with lighter atoms in that same atmosphere."
