fragment,text
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anatomical_space rdfs:label ""anatomical space"" ;
    rdfs:subClassOf :immaterial_anatomical_entity ;
    :has_broad_synonym ""lumen"",
        ""space"" ;
    :has_definition ""Non-material anatomical entity of three dimensions, that is generated by morphogenetic or other physiologic processes; is surrounded by one or more anatomical structures; contains one or more organism substances or anatomical structures."" ;
    :has_exact_synonym ""lumen space"" ;
    :has_related_synonym ""anatomical spaces"" .

:immaterial_anatomical_entity rdfs:label ""immaterial anatomical entity"" .

","Anatomical space is a sub-concept of the immaterial anatomical entity. The definition of anatomical space centers around a non-material anatomical entity that exists in three dimensions. It's generated by morphogenetic or other physiological processes and is enveloped by one or more anatomical structures. It can contain one or more organism substances or anatomical structures. Anatomical space is also known by a few synonyms. The broad synonyms are lumen and space, while the exact synonym is lumen space. Anatomical spaces is its related synonym."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anatomical_entity rdfs:label ""anatomical entity"" .

:material_anatomical_entity rdfs:label ""Material anatomical entity"",
        ""material anatomical entity"" ;
    rdfs:subClassOf :anatomical_entity,
        :material_entity ;
    :has_definition ""Anatomical entity that has mass."" ;
    :has_exact_match :material_anatomical_entity .

:material_entity rdfs:label ""material entity"" .

","Material anatomical entity is a sub-concept of both material entity and anatomical entity. By definition, a material anatomical entity is an anatomical entity that has mass. Additionally, it's important to note that a perfect match for the term material anatomical entity, is indeed, Material anatomical entity."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:immaterial_anatomical_entity rdfs:label ""immaterial anatomical entity"" ;
    rdfs:subClassOf :anatomical_entity ;
    :has_definition ""Anatomical entity that has no mass."" ;
    :has_exact_synonym ""immaterial physical anatomical entity"" .

:anatomical_entity rdfs:label ""anatomical entity"" .

","Immaterial anatomical entity, which is a sub-concept of anatomical entity, is defined as an anatomical entity that has no mass. This immaterial anatomical entity is also exactly synonymous with the term 'immaterial physical anatomical entity'."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anatomical_cluster rdfs:label ""anatomical cluster"" ;
    rdfs:subClassOf :anatomical_entity ;
    :has_definition ""Anatomical group that has its parts adjacent to one another."" .

:anatomical_entity rdfs:label ""anatomical entity"" .

",An anatomical cluster is a sub-concept of an anatomical entity which is defined as an anatomical group that has its parts adjacent to one another.
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:tissue rdfs:label ""tissue"" ;
    rdfs:subClassOf :multicellular_anatomical_structure ;
    :has_definition ""Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation."" ;
    :has_exact_synonym ""portion of tissue"",
        ""tissue portion"" ;
    :has_narrow_synonym ""simple tissue"" .

:multicellular_anatomical_structure rdfs:label ""multicellular anatomical structure"" .

","Tissue is a sub-concept of a multicellular anatomical structure. It is defined as a multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix. The organisation of these cells is at least partly a repetition of their short-range organisation. The term 'tissue' also has exact synonyms which include 'portion of tissue' and 'tissue portion'. Furthermore, 'simple tissue' is considered a narrow synonym of tissue."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:multi_tissue_structure rdfs:label ""multi-tissue structure"" ;
    rdfs:subClassOf :multicellular_anatomical_structure ;
    :has_definition ""Anatomical structure that has as its parts two or more portions of tissue of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona-fide boundaries from other distinct structural units of different types."" ;
    :has_related_synonym ""multi-tissue structures"" .

:multicellular_anatomical_structure rdfs:label ""multicellular anatomical structure"" .

","Multi-tissue structure, a sub-concept of multicellular anatomical structure, is defined as an anatomical structure that consists of two or more portions of at least two different types of tissues. Through specific morphogenetic processes, these tissues form a single distinct structural unit which is demarcated by bona-fide boundaries from other distinct structural units of different types. It also goes by the related synonym, multi-tissue structures."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:epithelium rdfs:label ""epithelium"" ;
    rdfs:subClassOf :tissue ;
    :depicted_by ""https://upload.wikimedia.org/wikipedia/commons/8/8f/Illu_epithelium.jpg""^^xsd:anyURI ;
    :has_definition ""Portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina. Examples: simple squamous epithelium, glandular cuboidal epithelium, transitional epithelium, myoepithelium[CARO]."" ;
    :has_exact_synonym ""epithelial tissue"",
        ""portion of epithelium"" ;
    :has_relational_adjective ""epithelial"" ;
    :homology_notes ""The two basic types of metazoan tissue are epithelial and connective. The simplest metazoans, and developmental stages of many primitive invertebrates, consist solely of these two layers. Thus, epithelial and connective tissues may be the primary (original) tissues of metazoans, and both are important in the functional organization of animals.[well established][VHOG]"" .

:tissue rdfs:label ""tissue"" .

","Epithelium is a sub-concept of tissue. It is defined as a portion of tissue that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina. Some examples of epithelium include simple squamous epithelium, glandular cuboidal epithelium, transitional epithelium, and myoepithelium[CARO]. According to homology notes, the two basic types of metazoan tissue are epithelial and connective, indicating that epithelium may be a primary, or original, tissue in metazoans and a critical part of their functional organization. Moreover, it's also known by other names, epithelial tissue and portion of epithelium, which are its exact synonyms. The term related to epithelium is 'epithelial'. A depiction of the epithelium can be found in the provided link: https://upload.wikimedia.org/wikipedia/commons/8/8f/Illu_epithelium.jpg."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:simple_squamous_epithelium rdfs:label ""simple squamous epithelium"" ;
    rdfs:subClassOf :squamous_epithelium,
        :unilaminar_epithelium ;
    :depicted_by ""https://upload.wikimedia.org/wikipedia/commons/8/8f/Illu_epithelium.jpg""^^xsd:anyURI ;
    :external_definition ""Unilaminar epithelium that consists of a single layer of squamous cells.[CARO]"" ;
    :has_definition ""Unilaminar epithelium which consists of a single layer of squamous cells. Examples: pulmonary alveolar epithelium, endothelium.[FMA]."" ;
    :has_exact_synonym ""epithelium simplex squamosum"" ;
    :has_related_synonym ""simple squamous epithelia"" .

:squamous_epithelium rdfs:label ""squamous epithelium"" .

:unilaminar_epithelium rdfs:label ""unilaminar epithelium"" .

","Simple squamous epithelium is a sub concept of both unilaminar epithelium and squamous epithelium. Its definition is a unilaminar epithelium which consists of a single layer of squamous cells. Examples of this include the pulmonary alveolar epithelium and the endothelium. This definition is externally supported by CARO, stating that the simple squamous epithelium is indeed a unilaminar epithelium that consists of a single layer of squamous cells. Alternate terminologies for simple squamous epithelium include epithelium simplex squamosum and simple squamous epithelia. It is visually depicted at https://upload.wikimedia.org/wikipedia/commons/8/8f/Illu_epithelium.jpg."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cavitated_compound_organ rdfs:label ""cavitated compound organ"" ;
    rdfs:subClassOf :compound_organ ;
    :curator_notes ""this class was introduced for consistency with CARO, however, it has yet to be used in this or other ontologies. It may be retired in the future"" ;
    :has_definition ""Compound organ that contains one or more macroscopic anatomical spaces."" ;
    :has_exact_synonym ""cavitated organ"" ;
    :has_related_synonym ""cavitated compound organs"" .

:compound_organ rdfs:label ""compound organ"" .

","The cavitated compound organ is a sub-concept of the compound organ, defined as a compound organ that contains one or more macroscopic anatomical spaces. This class was introduced for consistency with CARO but is yet to be utilized in this or other ontologies, and may, therefore, be retired in the future. It is precisely synonymous with the term 'cavitated organ' and is also related to the term 'cavitated compound organs'."
"@prefix : <https://zaitoun.dev/onto/> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:unilaminar_epithelium rdfs:label ""unilaminar epithelium"" ;
    rdfs:subClassOf :epithelium ;
    :external_definition ""Epithelium that consists of a single layer of epithelial cells.[CARO]"" ;
    :has_definition ""Epithelium which consists of a single layer of epithelial cells. Examples: endothelium, mesothelium, glandular squamous epithelium.[FMA]."" ;
    :has_exact_synonym ""simple epithelium"" ;
    :has_related_synonym ""unilaminar epithelia"" .

:epithelium rdfs:label ""epithelium"" .

","Unilaminar epithelium is a sub-concept of epithelium which consists of a single layer of epithelial cells. There are examples such as endothelium, mesothelium, and glandular squamous epithelium, as per the Federative Committee on Anatomical Terminology (FMA). This definition is also corroborated by the Common Anatomy Reference Ontology (CARO) which similarly states that a unilaminar epithelium consists of a single layer of epithelial cells. In other terms, unilaminar epithelium is also known by the exact synonym 'simple epithelium', and a related synonym 'unilaminar epithelia'."
